,page_url,artist,artist_nationality,artist_birthdate,title,image_url,year,gallery,gallery_location,medium,medium_details,size_inches,size_cm,condition,classification,signed,authenticated,framed,currency,price
0,https://www.artsy.net/artwork/polly-apfelbaum-target-practice-21,Polly Apfelbaum,American,1955,Target Practice 21,https://d32dm0rphc51dk.cloudfront.net/MhrDeBzFgJG6rByMnK9kKw/large.jpg,2020,"Durham, New York",Secure payment,Print,Woodblock Monoprint,14 × 14 in,35.6 × 35.6 cm,NA,This is a unique work.,Hand-signed by artist,NA,Not included,$,"3,000"
1,https://www.artsy.net/artwork/pipilotti-rist-small-homo-toes-the-line,Pipilotti Rist,Swiss,1962,Small Homo Toes the Line,https://d32dm0rphc51dk.cloudfront.net/92d1g3X_czCDQoJNiulZRQ/large.jpg,2007,"$3,105",23 1/2 × 16 1/2 in,Print,"Video still, ink print on rag paper",This work is part of a limited edition set.,23 1/2 × 16 1/2 in,This set of works is generally in good condition. Please inquire for details regarding specific prints.,59.7 × 41.9 cm,"Hand-signed by artist, Signed in pencil by the artist, top left",NA,Not included,E,"ditions 4, 5, 7, 8, 9 of 30"
2,https://www.artsy.net/artwork/josette-urso-monaco,Josette Urso,American,NA,Monaco,https://d32dm0rphc51dk.cloudfront.net/Morkt0Rlb02hDMkCGoGtUw/large.jpg,2017,"New York, Bridgehampton",Secure payment,"Drawing, Collage or other Work on Paper",Paper collage,36 × 36 in,91.4 × 91.4 cm,New / perfect condition,This is a unique work.,Hand-signed by artist,NA,Included,$,"3,600"
3,https://www.artsy.net/artwork/karl-hartman-dried-grass,Karl Hartman,American,NA,Dried Grass,https://d32dm0rphc51dk.cloudfront.net/23OAB4-TW4eCwqkTYCjO3A/large.jpg,2000,Garvey | Simon,New York,Painting,Oil on Masonite,14 × 14 in,35.6 × 35.6 cm,Excellent,This is a unique work.,"Hand-signed by artist, sticker label, Signed lower right corner, ""Karl Hartman""",Included,Not included,NA,NA
4,https://www.artsy.net/artwork/jesus-rafael-soto-ovalo-rojo,Jesús Rafael Soto,"Venezuelan, 1923–2005",NA,Ovalo Rojo,https://d32dm0rphc51dk.cloudfront.net/rEmd2bqEq3UP0-Oav3nFww/large.jpg,ca. 1980,Make offer,RoGallery,Print,Screenprint on Arches,22 × 30 × 1/10 in,55.9 × 76.2 × 0.3 cm,Excellent,Edition of 150 + 25AP,"Hand-signed by artist, Signed and numbered in pencil",NA,Not included,NA,NA
5,https://www.artsy.net/artwork/erte-romain-de-tirtoff-erte-original-gouache-painting-set-design-art-deco-romain-tirtoff,Erté (Romain de Tirtoff),"French-Russian, 1892–1990",NA,Erte Original Gouache Painting Set Design Art Deco Romain Tirtoff ,https://d32dm0rphc51dk.cloudfront.net/edLudbTdatZpseCLmllDvQ/large.jpg,20th Century,Original Art Broker,Certificate of authenticity,Painting,Gouache Paint,26 × 33 in,66 × 83.8 cm,Excellent Condition - Like New,This is a unique work.,"Hand-signed by artist, (see photos)",Included,Included,$,"4,495"
6,https://www.artsy.net/artwork/kamini-avril-carried-away-1,Kamini Avril,American,1955,Carried Away,https://d32dm0rphc51dk.cloudfront.net/NYa-Bp3v2Q5a7seNqvUItg/large.jpg,2020,New York,Secure payment,Painting,Oil on canvas,48 × 36 in,121.9 × 91.4 cm,NA,This is a unique work.,Hand-signed by artist,NA,Not included,$,"2,200"
7,https://www.artsy.net/artwork/amber-goldhammer-georgia-peach,Amber Goldhammer,American,1979,Georgia Peach,https://d32dm0rphc51dk.cloudfront.net/aKtOnNkXHb83Xer30H3sJw/large.jpg,2020,Thomas Deans Fine Art,Atlanta,Painting,"Acrylic, spray paint, and latex on canvas",40 × 60 in,101.6 × 152.4 cm,"New, original",This is a unique work.,"Hand-signed by artist, Signed on the reverse",Included,Not included,$,"2,450"
8,https://www.artsy.net/artwork/mark-tennant-blinds,Mark Tennant,Follow,NA,Blinds,https://d32dm0rphc51dk.cloudfront.net/ZOelpsXfYI7V5WOX06oI-w/large.jpg,2020,Aux Gallery,Certificate of authenticity,Painting,Oil on Canvas,30 × 24 in,76.2 × 61 cm,NA,This is a unique work.,"Hand-signed by artist, Signed on Verso ",Included,Not included,$,"3,500"
9,https://www.artsy.net/artwork/natalie-baxter-so-mellow,Natalie Baxter,American,1985,So Mellow,https://d32dm0rphc51dk.cloudfront.net/R8zCTzJXIrRn7jzS8joKWw/large.jpg,2020,VICTORI+MO CONTEMPORARY,New York,Textile Arts,Fabric and Polyfill,13 × 37 × 3 in,33 × 94 × 7.6 cm,NA,This is a unique work.,Not signed,NA,Not included,$,600
